id_user,no_str,wilayah_kerja,created_at,updated_at
222492,STR-30D50C063B,155,2026-02-01 22:49:59,2026-02-01 22:49:59
200345,STR-6259F254B1,186,2025-09-28 11:42:41,2025-09-28 11:42:41
239636,STR-090F2E3D67,28,2024-06-12 23:32:20,2024-06-12 23:32:20
205722,STR-E9E3290F8B,41,2025-03-04 13:00:57,2025-03-04 13:00:57
219651,STR-DAEA7B83FA,79,2025-05-12 02:42:45,2025-05-12 02:42:45
202878,STR-26F8B1F7BD,53,2026-05-30 11:48:30,2026-05-30 11:48:30
200967,STR-E96F6602A4,205,2026-04-06 00:51:13,2026-04-06 00:51:13
209401,STR-ABD6C0F10B,180,2025-07-05 10:15:26,2025-07-05 10:15:26
209169,STR-D0DBE2BBE7,117,2025-10-26 10:05:11,2025-10-26 10:05:11
233831,STR-CC28F4EAFE,161,2025-07-26 01:38:54,2025-07-26 01:38:54
232485,STR-CBD77C8720,186,2026-03-05 00:02:05,2026-03-05 00:02:05
210535,STR-6567CF0EDE,72,2026-02-28 06:57:42,2026-02-28 06:57:42
209423,STR-E9C6F3E1FF,9,2025-10-11 20:59:36,2025-10-11 20:59:36
237377,STR-4881F4DD98,155,2025-07-02 04:04:54,2025-07-02 04:04:54
203599,STR-7F41C646AA,205,2025-04-30 17:05:05,2025-04-30 17:05:05
200093,STR-F88CFE4F6B,9,2025-09-27 10:38:14,2025-09-27 10:38:14
227816,STR-8AB3C81779,85,2025-01-21 02:00:48,2025-01-21 02:00:48
201232,STR-7416EE1595,129,2025-09-15 04:41:09,2025-09-15 04:41:09
238015,STR-3405C53FC1,167,2025-12-24 23:31:41,2025-12-24 23:31:41
203164,STR-95DD898A85,123,2026-03-11 19:56:28,2026-03-11 19:56:28
205603,STR-56649C3551,9,2025-05-27 19:12:07,2025-05-27 19:12:07
204223,STR-9A5262AE8E,224,2024-12-23 02:47:58,2024-12-23 02:47:58
233396,STR-CD2E64FF86,218,2026-01-25 16:01:05,2026-01-25 16:01:05
232672,STR-5ECEDBE7A0,174,2024-08-27 17:20:16,2024-08-27 17:20:16
223799,STR-D923AAE454,34,2026-05-29 12:07:13,2026-05-29 12:07:13
220821,STR-DF51126A88,15,2024-10-11 05:12:39,2024-10-11 05:12:39
220657,STR-13735CBB3B,155,2026-02-21 19:37:31,2026-02-21 19:37:31
233450,STR-AE0462E84A,9,2025-04-25 14:20:40,2025-04-25 14:20:40
207549,STR-167A23716B,66,2026-01-31 12:56:21,2026-01-31 12:56:21
217188,STR-5AACD91927,3,2024-10-29 05:59:07,2024-10-29 05:59:07
235121,STR-13C306318E,199,2025-11-26 04:12:59,2025-11-26 04:12:59
223115,STR-A4C6F66C16,129,2024-09-27 06:35:30,2024-09-27 06:35:30
238320,STR-8238411498,155,2026-02-27 11:19:44,2026-02-27 11:19:44
225994,STR-1EFC3B9D35,28,2024-08-20 20:16:45,2024-08-20 20:16:45
236535,STR-E70BB0CCCE,110,2025-07-11 20:57:35,2025-07-11 20:57:35
226112,STR-BDEC4D0C4B,205,2025-06-11 08:38:44,2025-06-11 08:38:44
239847,STR-53F150756F,218,2026-04-02 11:18:14,2026-04-02 11:18:14
232067,STR-2E463696B8,22,2026-03-21 21:18:50,2026-03-21 21:18:50
232501,STR-204AD0F23A,91,2024-08-27 23:04:06,2024-08-27 23:04:06
246522,STR-BD767966C0,53,2026-02-03 17:55:15,2026-02-03 17:55:15
244346,STR-4A4F56DB18,9,2025-01-22 11:01:16,2025-01-22 11:01:16
231978,STR-22C642ABA5,148,2026-04-22 01:35:17,2026-04-22 01:35:17
243447,STR-BF165885F1,199,2025-05-12 01:05:33,2025-05-12 01:05:33
225312,STR-3E7B1B12ED,117,2024-11-28 21:25:10,2024-11-28 21:25:10
215012,STR-C89C96B6B2,117,2026-05-26 23:58:02,2026-05-26 23:58:02
248365,STR-9E83A1C4E8,174,2024-09-17 22:59:15,2024-09-17 22:59:15
229001,STR-C14F83DD6C,161,2024-12-18 04:24:45,2024-12-18 04:24:45
245131,STR-42E16441DC,148,2024-11-03 16:40:43,2024-11-03 16:40:43
214703,STR-165327C9F9,224,2025-08-16 22:48:00,2025-08-16 22:48:00
220929,STR-56D5DBCFF7,167,2025-12-12 17:37:18,2025-12-12 17:37:18
224201,STR-B1DFBE852D,9,2025-07-11 10:47:32,2025-07-11 10:47:32
237122,STR-3281A6DB06,110,2024-12-07 15:22:20,2024-12-07 15:22:20
207873,STR-E3A1118809,22,2025-06-20 18:00:46,2025-06-20 18:00:46
240058,STR-96560C2188,224,2024-10-14 16:16:32,2024-10-14 16:16:32
200780,STR-7B39A1D574,91,2025-01-21 10:56:21,2025-01-21 10:56:21
239452,STR-4DE2DC1C46,60,2026-04-01 11:22:18,2026-04-01 11:22:18
215331,STR-ACFC4F36BF,60,2025-05-15 07:00:12,2025-05-15 07:00:12
202876,STR-25C3A5F789,22,2024-06-22 17:25:37,2024-06-22 17:25:37
204347,STR-70A5183749,167,2025-08-20 10:17:36,2025-08-20 10:17:36
204941,STR-531ED62BFC,180,2025-01-09 14:20:37,2025-01-09 14:20:37
204983,STR-F4F4327ECF,224,2025-10-02 22:54:38,2025-10-02 22:54:38
235393,STR-41A704E30F,174,2024-08-01 18:16:37,2024-08-01 18:16:37
232721,STR-053146B389,180,2024-12-31 09:26:29,2024-12-31 09:26:29
239863,STR-9E6CC92B34,212,2024-06-25 11:24:40,2024-06-25 11:24:40
214651,STR-6D6331761F,174,2025-11-08 20:47:50,2025-11-08 20:47:50
227545,STR-2F5662B56A,66,2025-10-20 20:08:55,2025-10-20 20:08:55
225101,STR-47AC662AB8,91,2024-11-08 15:18:48,2024-11-08 15:18:48
205286,STR-AB9C874E04,15,2025-02-04 20:11:41,2025-02-04 20:11:41
220781,STR-5D2CDEA3CB,142,2025-10-16 23:56:20,2025-10-16 23:56:20
214604,STR-F1D0963021,53,2025-06-06 15:38:18,2025-06-06 15:38:18
214487,STR-C391B1DBA7,91,2025-07-10 02:27:52,2025-07-10 02:27:52
206725,STR-1FCAC5C75D,212,2026-06-06 04:48:22,2026-06-06 04:48:22
204519,STR-CF878102B4,98,2025-05-30 02:55:55,2025-05-30 02:55:55
204928,STR-0299BABFB9,148,2024-10-18 06:26:29,2024-10-18 06:26:29
244392,STR-A0837593F1,28,2025-03-01 16:59:35,2025-03-01 16:59:35
249494,STR-AACAE1F4A9,28,2026-03-15 18:52:39,2026-03-15 18:52:39
209638,STR-FFDE60ACC8,3,2025-05-12 19:27:34,2025-05-12 19:27:34
220964,STR-597BA03285,212,2025-01-23 11:55:09,2025-01-23 11:55:09
219571,STR-9A5FF80C34,193,2025-09-16 08:50:52,2025-09-16 08:50:52
238431,STR-7EF0757668,123,2025-12-18 21:10:57,2025-12-18 21:10:57
200392,STR-CA16E8B4D3,117,2025-06-27 14:15:20,2025-06-27 14:15:20
219179,STR-56BFAA5034,193,2025-07-26 11:48:48,2025-07-26 11:48:48
210254,STR-3294517574,180,2025-05-04 20:24:55,2025-05-04 20:24:55
212018,STR-0D82354CEE,218,2025-10-21 05:41:53,2025-10-21 05:41:53
217098,STR-ED613469F5,212,2024-11-28 21:13:57,2024-11-28 21:13:57
236452,STR-85FB09D44C,22,2024-06-15 06:03:40,2024-06-15 06:03:40
223280,STR-70EED1792E,9,2025-08-21 13:56:29,2025-08-21 13:56:29
202042,STR-B42293C19F,123,2025-10-28 11:23:40,2025-10-28 11:23:40
202301,STR-003FE46ED8,199,2026-02-15 00:43:16,2026-02-15 00:43:16
211339,STR-E91D54CC01,79,2026-03-02 02:42:10,2026-03-02 02:42:10
211591,STR-C94CF59DE3,180,2025-11-23 00:12:22,2025-11-23 00:12:22
204244,STR-2659D5D022,60,2025-07-16 23:57:59,2025-07-16 23:57:59
211907,STR-5739DC091C,98,2025-12-26 07:24:37,2025-12-26 07:24:37
219214,STR-E523CD0D9A,41,2026-01-18 08:17:25,2026-01-18 08:17:25
246119,STR-FD26108469,85,2025-06-26 14:40:48,2025-06-26 14:40:48
241909,STR-22978AF96B,148,2024-12-22 08:16:24,2024-12-22 08:16:24
236581,STR-3E9264F859,167,2026-01-04 00:39:22,2026-01-04 00:39:22
230892,STR-8650C3EBE1,174,2025-05-28 07:43:52,2025-05-28 07:43:52
205930,STR-49FFFED6CA,110,2024-07-13 01:36:31,2024-07-13 01:36:31
221436,STR-BCC7CB4985,117,2025-11-19 03:59:05,2025-11-19 03:59:05
229574,STR-684851B076,186,2024-09-12 03:54:32,2024-09-12 03:54:32
220946,STR-95B77BA976,155,2026-05-01 11:41:38,2026-05-01 11:41:38
217400,STR-68C587394E,110,2024-11-12 08:41:22,2024-11-12 08:41:22
246394,STR-CAA75991B1,9,2026-01-30 11:07:46,2026-01-30 11:07:46
242946,STR-7E6DB907C0,155,2026-04-20 14:45:58,2026-04-20 14:45:58
227362,STR-4D9CFB96C9,28,2025-07-28 09:36:55,2025-07-28 09:36:55
238658,STR-066D6E19FD,167,2024-09-04 10:18:38,2024-09-04 10:18:38
249584,STR-7F2FDB8817,47,2025-06-12 10:23:49,2025-06-12 10:23:49
221751,STR-696FF20E60,3,2026-05-13 11:57:28,2026-05-13 11:57:28
222413,STR-7E80F0009C,41,2025-07-11 15:55:31,2025-07-11 15:55:31
222101,STR-45ED6D5AA3,85,2025-09-30 08:41:29,2025-09-30 08:41:29
244864,STR-8246634796,91,2025-06-11 04:59:42,2025-06-11 04:59:42
246389,STR-809EF43500,72,2024-12-03 13:52:15,2024-12-03 13:52:15
229532,STR-BCAB5CB06F,174,2025-09-28 05:13:26,2025-09-28 05:13:26
232187,STR-9CDD8A6E3A,129,2025-03-14 19:45:06,2025-03-14 19:45:06
249086,STR-34C5149E86,123,2026-04-17 02:04:19,2026-04-17 02:04:19
209161,STR-7EB15DA48C,104,2025-10-10 13:13:41,2025-10-10 13:13:41
223601,STR-61C9DB188C,136,2026-03-20 20:19:43,2026-03-20 20:19:43
230308,STR-00DA03B9EC,167,2026-04-08 17:24:39,2026-04-08 17:24:39
224265,STR-DA43A05F17,148,2025-11-02 10:06:18,2025-11-02 10:06:18
206329,STR-0021B73D37,205,2025-08-10 01:48:13,2025-08-10 01:48:13
244222,STR-BDBDA85B3E,155,2026-03-17 07:39:10,2026-03-17 07:39:10
247790,STR-C18FE9901B,199,2025-06-12 05:34:32,2025-06-12 05:34:32
228653,STR-66704AE76C,193,2024-12-12 04:04:24,2024-12-12 04:04:24
247989,STR-1E4FF78A84,60,2026-03-16 12:46:27,2026-03-16 12:46:27
241586,STR-4CD331381D,98,2025-11-03 17:04:08,2025-11-03 17:04:08
215879,STR-95070A375F,129,2025-09-23 08:25:03,2025-09-23 08:25:03
207444,STR-DAD7921FCC,9,2025-06-30 06:41:53,2025-06-30 06:41:53
243404,STR-A51473BF02,15,2024-10-16 19:18:12,2024-10-16 19:18:12
229108,STR-F7C9373F19,41,2025-03-07 14:56:59,2025-03-07 14:56:59
200138,STR-560FE3EE1D,129,2024-06-18 16:57:31,2024-06-18 16:57:31
235843,STR-0AEBFB7D0B,117,2025-04-03 11:26:44,2025-04-03 11:26:44
221686,STR-9E13C66F08,91,2026-05-05 18:07:18,2026-05-05 18:07:18
214388,STR-6CEF1530DF,199,2024-08-17 21:37:42,2024-08-17 21:37:42
230665,STR-5EA876CADB,34,2026-02-25 07:57:18,2026-02-25 07:57:18
200769,STR-E6CBC7AB44,66,2024-07-24 23:20:36,2024-07-24 23:20:36
216644,STR-04F0F08FC5,199,2024-12-20 01:58:16,2024-12-20 01:58:16
241772,STR-3A3ED0DBCB,98,2024-06-14 19:01:37,2024-06-14 19:01:37
234241,STR-AC1ACC9F1B,212,2025-09-26 23:41:43,2025-09-26 23:41:43
206184,STR-B6E2CCD2F5,174,2025-11-16 05:05:08,2025-11-16 05:05:08
246237,STR-2D6669FF3A,15,2025-04-18 02:25:34,2025-04-18 02:25:34
243689,STR-63236ECDED,174,2025-03-16 12:49:36,2025-03-16 12:49:36
223429,STR-C9B749E322,66,2025-03-04 07:25:19,2025-03-04 07:25:19
239005,STR-7FB909B4C0,123,2026-04-17 00:28:17,2026-04-17 00:28:17
207166,STR-DCEA69FB26,60,2026-05-04 18:16:42,2026-05-04 18:16:42
236619,STR-DB1EFC34D9,167,2026-01-27 17:00:26,2026-01-27 17:00:26
200535,STR-48D61EDB91,9,2025-08-02 18:16:53,2025-08-02 18:16:53
221949,STR-B7D8113D28,193,2024-09-20 17:00:43,2024-09-20 17:00:43
237597,STR-17DE8C93A5,34,2025-06-16 23:10:09,2025-06-16 23:10:09
217941,STR-D808ADDB16,224,2024-07-29 23:08:35,2024-07-29 23:08:35
247670,STR-A0F27BAE89,155,2025-11-21 21:20:59,2025-11-21 21:20:59
205119,STR-C295BBEEEE,15,2025-11-06 10:28:45,2025-11-06 10:28:45
203981,STR-AF86345FEB,161,2026-04-18 13:21:42,2026-04-18 13:21:42
243360,STR-EC6EE31391,72,2026-03-29 10:03:23,2026-03-29 10:03:23
208021,STR-9D1B59C723,193,2025-06-04 02:34:16,2025-06-04 02:34:16
217734,STR-DD59E050F1,193,2025-09-20 16:38:11,2025-09-20 16:38:11
209813,STR-18DD17B3C0,155,2024-11-04 21:04:06,2024-11-04 21:04:06
235349,STR-C2CBA39FE5,66,2024-08-27 03:17:53,2024-08-27 03:17:53
209775,STR-A35FA37B14,47,2024-09-01 07:09:35,2024-09-01 07:09:35
201420,STR-0E9EF6342D,205,2024-11-12 13:49:29,2024-11-12 13:49:29
204996,STR-DB0155BD70,91,2025-01-26 00:07:27,2025-01-26 00:07:27
232506,STR-00E591060D,218,2026-03-01 22:45:07,2026-03-01 22:45:07
216486,STR-BB02EE21F4,41,2025-11-15 02:24:17,2025-11-15 02:24:17
245466,STR-BEE60B3632,224,2025-04-07 07:48:00,2025-04-07 07:48:00
245888,STR-93C2A5E717,205,2025-06-01 01:56:27,2025-06-01 01:56:27
249907,STR-FB70D0FFED,123,2024-08-02 13:09:32,2024-08-02 13:09:32
233422,STR-D34422EC16,60,2025-04-09 11:27:15,2025-04-09 11:27:15
240206,STR-7F8A331A78,212,2026-04-27 06:50:56,2026-04-27 06:50:56
233914,STR-578F556D1F,15,2025-10-31 07:45:38,2025-10-31 07:45:38
217755,STR-59BA06D10F,155,2025-10-16 17:07:46,2025-10-16 17:07:46
221692,STR-1934ED9B09,174,2025-11-01 18:21:53,2025-11-01 18:21:53
230283,STR-1B0137C133,9,2026-04-27 18:01:54,2026-04-27 18:01:54
247978,STR-A3387E63D9,53,2025-07-12 12:14:17,2025-07-12 12:14:17
213985,STR-5EF7EFB82D,123,2025-05-19 01:42:19,2025-05-19 01:42:19
222127,STR-5359D84CBF,129,2026-04-24 20:36:38,2026-04-24 20:36:38
230527,STR-9559E9425B,199,2026-05-22 08:36:43,2026-05-22 08:36:43
219656,STR-6DEA76368B,205,2025-08-10 02:12:23,2025-08-10 02:12:23
241468,STR-1D30B9197C,104,2025-11-17 06:55:19,2025-11-17 06:55:19
229834,STR-95FFB36D0C,212,2024-11-15 05:48:02,2024-11-15 05:48:02
217695,STR-A5C5DD0FA0,15,2025-02-15 15:14:24,2025-02-15 15:14:24
217118,STR-FB826D0BD5,34,2025-09-11 19:35:22,2025-09-11 19:35:22
208023,STR-D98245915E,34,2025-04-25 03:17:52,2025-04-25 03:17:52
203349,STR-4140B0D48B,123,2025-09-14 07:24:02,2025-09-14 07:24:02
215751,STR-1E7F69ED4D,117,2025-10-30 05:53:53,2025-10-30 05:53:53
211928,STR-0952432198,60,2025-03-03 03:31:53,2025-03-03 03:31:53
240465,STR-4A47CCA61C,161,2025-05-14 05:58:08,2025-05-14 05:58:08
241416,STR-2EA580D550,22,2025-05-06 04:29:09,2025-05-06 04:29:09
229641,STR-EF28FFD80C,167,2025-03-16 11:03:48,2025-03-16 11:03:48
225298,STR-4879710B2A,218,2025-11-21 02:49:05,2025-11-21 02:49:05
228607,STR-933A673790,22,2025-06-20 19:04:07,2025-06-20 19:04:07
236315,STR-E861402BEE,180,2024-10-28 20:55:43,2024-10-28 20:55:43
222350,STR-B45D0272EC,174,2025-03-17 18:44:29,2025-03-17 18:44:29
217798,STR-9564FAE960,3,2025-06-12 03:03:06,2025-06-12 03:03:06
237426,STR-A6069DE0B8,28,2026-04-12 02:26:30,2026-04-12 02:26:30
239418,STR-573521BA53,98,2026-04-21 20:23:45,2026-04-21 20:23:45
249948,STR-AA4E6A71DB,110,2025-12-27 01:59:20,2025-12-27 01:59:20
249897,STR-B8322A9FAD,180,2025-08-08 23:43:28,2025-08-08 23:43:28
247987,STR-A43ED39CE3,155,2026-01-22 21:52:32,2026-01-22 21:52:32
211145,STR-B44D312259,205,2026-02-21 19:13:19,2026-02-21 19:13:19
247658,STR-79C9883782,47,2024-09-17 16:55:43,2024-09-17 16:55:43
231721,STR-7CCA08F589,47,2024-07-03 03:42:47,2024-07-03 03:42:47
200175,STR-0889C4B28F,205,2024-11-20 10:09:52,2024-11-20 10:09:52
249093,STR-782926E1C1,161,2024-11-16 03:21:48,2024-11-16 03:21:48
220838,STR-D81167EDFF,15,2025-10-12 07:23:46,2025-10-12 07:23:46
248629,STR-0278DC227A,167,2025-07-31 22:55:43,2025-07-31 22:55:43
239278,STR-B57FAC5C21,91,2025-05-16 22:57:14,2025-05-16 22:57:14
247156,STR-EA8C03A5A9,117,2025-05-01 15:42:52,2025-05-01 15:42:52
212734,STR-6CA9F2C7B4,117,2024-09-19 22:21:59,2024-09-19 22:21:59
213915,STR-B1BEFAE93A,117,2026-02-24 06:00:14,2026-02-24 06:00:14
248730,STR-6BF86A8C0E,117,2024-08-13 20:12:03,2024-08-13 20:12:03
240994,STR-4AC5C1FA72,98,2025-06-11 20:10:28,2025-06-11 20:10:28
237880,STR-839695E3CD,136,2025-09-22 10:49:38,2025-09-22 10:49:38
209022,STR-7E13C33F77,123,2024-06-22 00:57:48,2024-06-22 00:57:48
200915,STR-4032406412,60,2025-03-12 00:16:16,2025-03-12 00:16:16
211363,STR-2AA6281DA2,110,2026-04-14 22:37:44,2026-04-14 22:37:44
204462,STR-5566F47AAC,174,2024-11-10 05:20:22,2024-11-10 05:20:22
232993,STR-8D085A22A6,205,2025-03-29 05:11:46,2025-03-29 05:11:46
242037,STR-9AE3436C7D,199,2025-05-03 21:54:17,2025-05-03 21:54:17
247697,STR-9672695673,148,2026-02-11 17:07:08,2026-02-11 17:07:08
240114,STR-8DD1EE64FA,60,2024-07-18 00:53:08,2024-07-18 00:53:08
219239,STR-25BC9DF33E,85,2026-01-04 09:05:23,2026-01-04 09:05:23
240531,STR-BCB92E72F4,193,2024-11-12 06:39:08,2024-11-12 06:39:08
240248,STR-73A40728B0,9,2025-05-12 10:41:56,2025-05-12 10:41:56
206976,STR-7327600EE7,180,2025-08-04 08:55:42,2025-08-04 08:55:42
243292,STR-E92FBD86CD,34,2024-08-09 22:24:06,2024-08-09 22:24:06
213597,STR-9FE7B29FDB,117,2026-04-08 16:09:40,2026-04-08 16:09:40
234995,STR-7E46C3BB1B,72,2025-03-14 08:09:08,2025-03-14 08:09:08
201871,STR-73F38E2424,129,2025-01-12 00:59:36,2025-01-12 00:59:36
244935,STR-DB1ECC26F9,28,2025-08-03 04:37:18,2025-08-03 04:37:18
206661,STR-D6E810E523,199,2024-09-21 05:28:05,2024-09-21 05:28:05
248926,STR-E122A95D17,167,2024-10-17 16:30:25,2024-10-17 16:30:25
246390,STR-5F0A9441A4,205,2024-10-06 01:23:00,2024-10-06 01:23:00
221514,STR-7A713B85FD,148,2025-07-10 18:27:11,2025-07-10 18:27:11
233168,STR-7B949D90F5,186,2026-01-16 15:10:03,2026-01-16 15:10:03
219901,STR-4BCD1E2F63,167,2024-12-29 22:08:08,2024-12-29 22:08:08
200898,STR-5A08BE1A79,110,2026-02-20 05:58:59,2026-02-20 05:58:59
243007,STR-A29CD9111D,66,2025-09-25 18:38:40,2025-09-25 18:38:40
243643,STR-5CB7B9DDF1,41,2025-02-26 04:16:58,2025-02-26 04:16:58
200214,STR-564D373A6D,79,2025-09-26 07:35:19,2025-09-26 07:35:19
249602,STR-346FF99EA7,98,2025-05-12 15:09:08,2025-05-12 15:09:08
241844,STR-B417F8AE4D,15,2025-10-08 14:23:28,2025-10-08 14:23:28
231153,STR-450E9ECC81,104,2025-07-07 01:02:29,2025-07-07 01:02:29
214836,STR-DF4242993B,47,2025-07-22 20:02:55,2025-07-22 20:02:55
225700,STR-A70E9F2F79,174,2024-06-12 16:46:49,2024-06-12 16:46:49
219280,STR-CF8A63242A,98,2024-06-27 22:14:26,2024-06-27 22:14:26
243127,STR-84E1C9F816,110,2025-03-28 07:47:45,2025-03-28 07:47:45
233369,STR-1A78CE2B5E,129,2026-05-26 13:02:05,2026-05-26 13:02:05
247193,STR-6E8AEE1AE8,161,2025-07-29 01:31:50,2025-07-29 01:31:50
235845,STR-37E03B0DAE,9,2025-03-07 11:05:03,2025-03-07 11:05:03
238145,STR-667DC24119,224,2025-07-19 12:00:57,2025-07-19 12:00:57
214787,STR-8A2AC4FF35,186,2025-10-04 22:46:06,2025-10-04 22:46:06
225128,STR-931B44473A,205,2026-02-21 03:34:51,2026-02-21 03:34:51
223311,STR-83411DAF34,28,2024-11-26 08:42:52,2024-11-26 08:42:52
227426,STR-2BE32582AE,91,2025-12-02 16:57:04,2025-12-02 16:57:04
241185,STR-508028C581,72,2024-12-30 05:56:06,2024-12-30 05:56:06
200070,STR-545A1FFADC,34,2025-08-09 06:40:02,2025-08-09 06:40:02
239064,STR-86952F1148,60,2024-07-11 10:58:03,2024-07-11 10:58:03
200518,STR-7802759324,28,2025-05-19 06:29:42,2025-05-19 06:29:42
235496,STR-FB0E695982,98,2024-11-18 02:07:15,2024-11-18 02:07:15
232298,STR-4CB3821CF2,41,2025-03-15 12:55:46,2025-03-15 12:55:46
225841,STR-AD96F6DBB8,123,2026-01-17 10:15:44,2026-01-17 10:15:44
211433,STR-074E10A743,148,2024-11-14 11:27:24,2024-11-14 11:27:24
222476,STR-BC5CC048BD,66,2024-10-27 19:18:02,2024-10-27 19:18:02
203636,STR-5246EAE719,60,2025-12-06 00:51:10,2025-12-06 00:51:10
241763,STR-F14A60D3EB,129,2024-11-14 19:46:25,2024-11-14 19:46:25
233977,STR-F9F8354C5C,167,2026-05-12 04:45:33,2026-05-12 04:45:33
222368,STR-2D1D591E48,47,2024-12-10 16:12:28,2024-12-10 16:12:28
230994,STR-CCC3C3EC7F,66,2024-08-11 22:32:13,2024-08-11 22:32:13
220188,STR-4C76498CF5,79,2025-06-08 14:18:30,2025-06-08 14:18:30
226249,STR-5E9298C934,161,2026-02-04 13:19:53,2026-02-04 13:19:53
214272,STR-2174225C6F,110,2026-03-06 23:56:48,2026-03-06 23:56:48
213527,STR-E1CF3BF38E,60,2025-12-12 15:00:26,2025-12-12 15:00:26
239252,STR-E9AE53CAE3,3,2026-05-28 15:38:00,2026-05-28 15:38:00
233154,STR-35426215BF,205,2025-10-30 06:03:32,2025-10-30 06:03:32
216334,STR-2F9ECD33E7,123,2026-05-05 09:08:40,2026-05-05 09:08:40
205907,STR-6F2FD4458C,129,2024-08-15 15:42:37,2024-08-15 15:42:37
224506,STR-30CD52D446,148,2026-02-10 13:16:03,2026-02-10 13:16:03
202378,STR-6C54AF8FC2,3,2024-11-06 21:02:10,2024-11-06 21:02:10
230804,STR-898406EAE5,110,2024-07-16 01:25:52,2024-07-16 01:25:52
212999,STR-6B4D5B1843,224,2024-08-16 23:58:56,2024-08-16 23:58:56
